,submission_ids,titles,texts,outcome_str,dates,combined_text,outcome,logits,predictions,accurate
0,1cmcjh2,AITAH for getting mad at my fiance for lending money to his friend?,"AITA for getting mad at my fiance for lending money to his friend? So for preference I am a cis woman, my fiance is a trans man. He worked in the medical field so a lot of his friends are female, he says that he feels more comfortable being friends with females than males. I try to be very understanding about this. So he has this female friend that he met at his previous job, they apparently became very close and she was there for him when he didn’t have much. A few months ago my fiance was working at a hospital. He didn’t get paid much, I made a little bit more money than him. Because of this we would rarely go out. And I would buy our stuff (toiletries, toilet paper, napkins, groceries etc.) because he would always say he didn’t have money for that. I suggested we go half on stuff since we already splitting our bills, I pay my half, he pays his. Once in a while he would offer to help, or buy us takeout. Or we would go to the movie theater and he would buy our tickets I would get the snacks. Well a few months ago he decided he couldn’t stand working at that hospital anymore and quit, he has been doing food delivery in the meantime. Yesterday he mentioned how everything has been going ok for him and how his friend, the one I mentioned before, is going to pay him his money back. He mentioned how back when he was working at the hospital his friend mentioned she was struggling having 5 kids and wanting to go back to school. So he lend her $200 to help her out. I got upset and told him that I was paying for everything that we need even HIS stuff that he needs like shampoo, body wash, toothpaste because I knew he didn’t have any money but he had money to lend to his friend?? This of course led to and argument. He said that I’m just mad because she is a female and I’m just toxic and jealous. But no, I feel upset because this entire time I thought he was struggling, and was buying him all these things so that he doesn’t struggle but here he is lending out money he supposedly doesn’t have. So, AITAH for getting mad and overreacting??",POO Mode Activated 💩,2024-05-07,"AITAH for getting mad at my fiance for lending money to his friend? AITA for getting mad at my fiance for lending money to his friend? So for preference I am a cis woman, my fiance is a trans man. He worked in the medical field so a lot of his friends are female, he says that he feels more comfortable being friends with females than males. I try to be very understanding about this. So he has this female friend that he met at his previous job, they apparently became very close and she was there for him when he didn’t have much. A few months ago my fiance was working at a hospital. He didn’t get paid much, I made a little bit more money than him. Because of this we would rarely go out. And I would buy our stuff (toiletries, toilet paper, napkins, groceries etc.) because he would always say he didn’t have money for that. I suggested we go half on stuff since we already splitting our bills, I pay my half, he pays his. Once in a while he would offer to help, or buy us takeout. Or we would go to the movie theater and he would buy our tickets I would get the snacks. Well a few months ago he decided he couldn’t stand working at that hospital anymore and quit, he has been doing food delivery in the meantime. Yesterday he mentioned how everything has been going ok for him and how his friend, the one I mentioned before, is going to pay him his money back. He mentioned how back when he was working at the hospital his friend mentioned she was struggling having 5 kids and wanting to go back to school. So he lend her $200 to help her out. I got upset and told him that I was paying for everything that we need even HIS stuff that he needs like shampoo, body wash, toothpaste because I knew he didn’t have any money but he had money to lend to his friend?? This of course led to and argument. He said that I’m just mad because she is a female and I’m just toxic and jealous. But no, I feel upset because this entire time I thought he was struggling, and was buying him all these things so that he doesn’t struggle but here he is lending out money he supposedly doesn’t have. So, AITAH for getting mad and overreacting??",,0.106938414,0,0
1,1cm2bsx,AITA - Birthday activity,"I (28M) casually brought up going to a baseball game for my birthday this year. It falls on a Friday so thought it would be fun and easy to get together with some friends to do something we all enjoyed and mix it up from a typical weekend event of going to the same bars, etc. For background we are in a good friend group with a few of us husbands and wives that all enjoy hanging out together.

Before buying the tickets, I confirmed the date and time worked with my friends and let them know a approximate price range. We know eachother well enough that I wouldn’t be buying front row seats by any means, just average tickets. So I went ahead and bought the tickets. I then let my friends know the tickets were $40 per person, which was within the range I gave earlier. One of my friends was thrown off by this and responded saying that since I invited him (and his wife) that I’m obligated to cover the cost of the tickets.

I understand this mindset if it was a more of an advertised birthday party/event or if the cost was higher. But it is something we all enjoy doing and was brought up ahead of time as more of an excuse to hang out and get together. 

What are peoples thoughts on this? It’s not worth the argument with my friend in my opinion, but I’m still not sure why as adults with full time jobs I would be responsible for covering the cost. AITA?",Not the A-hole,2024-05-07,"AITA - Birthday activity I (28M) casually brought up going to a baseball game for my birthday this year. It falls on a Friday so thought it would be fun and easy to get together with some friends to do something we all enjoyed and mix it up from a typical weekend event of going to the same bars, etc. For background we are in a good friend group with a few of us husbands and wives that all enjoy hanging out together.

Before buying the tickets, I confirmed the date and time worked with my friends and let them know a approximate price range. We know eachother well enough that I wouldn’t be buying front row seats by any means, just average tickets. So I went ahead and bought the tickets. I then let my friends know the tickets were $40 per person, which was within the range I gave earlier. One of my friends was thrown off by this and responded saying that since I invited him (and his wife) that I’m obligated to cover the cost of the tickets.

I understand this mindset if it was a more of an advertised birthday party/event or if the cost was higher. But it is something we all enjoy doing and was brought up ahead of time as more of an excuse to hang out and get together. 

What are peoples thoughts on this? It’s not worth the argument with my friend in my opinion, but I’m still not sure why as adults with full time jobs I would be responsible for covering the cost. AITA?",0.0,0.9930367,1,0
2,1cm1z9x,AITA for being rude to my struggling friend?,"My (33F) best/only friend (34F) has been struggling with her mental health (abandonment issues and OCD) for the past 2 months. In this time she has gotten upset with me for reaching out to an old friend (because she thinks I'm replacing her, but she has lots of other friends and I don't have any) and accused me of being a liar because I said “I’ll do anything with you” once, but weeks later she asked me to go to an event with her and I said no, so she threw it back in my face that I said I’ll go anywhere with her so apparently I was lying. 

I’ve been trying to be kind and understanding because she is having an extra hard time. 

Meanwhile I have been pursuing paperwork from an old court case I was a victim in, trying to process trauma and heal PTSD. It’s a big deal and I’ve been working towards facing it for almost 20 years. 

She asks me about how it’s going, so I told her I had an appointment to see the file on friday. Friday rolls around, I text her I’m at the court and anxious, she said she didn’t know I even got an appointment, got upset with me for not telling her about it. I showed her a screenshot of me telling her about it, she said she hated herself for forgetting and that she was sorry. 

I said “I think you should be sorry, but if you are it’s okay” 

Not the nicest way to accept an apology, I know. I wouldn’t have reacted like that if the last few months of our friendship hadn’t been so difficult. 

She’s mad at me for not giving her more grace because I know she’s been having a hard time. I feel like in that specific situation, I just didn’t have any more grace to give.   

AITA?",Everyone Sucks,2024-05-07,"AITA for being rude to my struggling friend? My (33F) best/only friend (34F) has been struggling with her mental health (abandonment issues and OCD) for the past 2 months. In this time she has gotten upset with me for reaching out to an old friend (because she thinks I'm replacing her, but she has lots of other friends and I don't have any) and accused me of being a liar because I said “I’ll do anything with you” once, but weeks later she asked me to go to an event with her and I said no, so she threw it back in my face that I said I’ll go anywhere with her so apparently I was lying. 

I’ve been trying to be kind and understanding because she is having an extra hard time. 

Meanwhile I have been pursuing paperwork from an old court case I was a victim in, trying to process trauma and heal PTSD. It’s a big deal and I’ve been working towards facing it for almost 20 years. 

She asks me about how it’s going, so I told her I had an appointment to see the file on friday. Friday rolls around, I text her I’m at the court and anxious, she said she didn’t know I even got an appointment, got upset with me for not telling her about it. I showed her a screenshot of me telling her about it, she said she hated herself for forgetting and that she was sorry. 

I said “I think you should be sorry, but if you are it’s okay” 

Not the nicest way to accept an apology, I know. I wouldn’t have reacted like that if the last few months of our friendship hadn’t been so difficult. 

She’s mad at me for not giving her more grace because I know she’s been having a hard time. I feel like in that specific situation, I just didn’t have any more grace to give.   

AITA?",2.0,-0.0047547836,0,0
3,1cm1r7b,AITA for wanting to do one thing that's just for me when my girlfriend & I are going on a trip for her graduation?,"My girlfriend & I are going on a two-week trip for her graduation and we will be doing a list of things she has wanted to do for a long time. I'm okay with doing all of those things with her, but when we made the list, I added one thing for us to do that I've always wanted to do. My thing will take us half a day, maybe a full day, then we can move on to her next thing. But when we started discussing plans for the trip, she brought up an alternative thing for us to do that similar to what I wanted that won't up take as much time. 

I'm at fault here because I said that alternative was fine, even though I didn't think it was. When we continued solidifying plans a few weeks later, she added something that she says is non-negotiable for us to do. That's fine with me, but this is one of several non-negotiable activities we need to do. So I brought up my thing and if we can fit my original idea into the schedule. Her response was, ""well, we have to see if we'll have time."" 

Am I the asshole for wanting to do one thing that I want to do when visiting a new country? I know the trip is for her, but I still think I should have some agency to do AN activity on this trip. ",Not the A-hole,2024-05-07,"AITA for wanting to do one thing that's just for me when my girlfriend & I are going on a trip for her graduation? My girlfriend & I are going on a two-week trip for her graduation and we will be doing a list of things she has wanted to do for a long time. I'm okay with doing all of those things with her, but when we made the list, I added one thing for us to do that I've always wanted to do. My thing will take us half a day, maybe a full day, then we can move on to her next thing. But when we started discussing plans for the trip, she brought up an alternative thing for us to do that similar to what I wanted that won't up take as much time. 

I'm at fault here because I said that alternative was fine, even though I didn't think it was. When we continued solidifying plans a few weeks later, she added something that she says is non-negotiable for us to do. That's fine with me, but this is one of several non-negotiable activities we need to do. So I brought up my thing and if we can fit my original idea into the schedule. Her response was, ""well, we have to see if we'll have time."" 

Am I the asshole for wanting to do one thing that I want to do when visiting a new country? I know the trip is for her, but I still think I should have some agency to do AN activity on this trip. ",0.0,1.0075772,1,0
4,1cm1puu,AITA for distancing myself from my sister after she started hanging out with my friends?,"Last year I lost a friend in a car accident, after this happened I (18M) started getting closer with the friend group that we used to hang out with at school a few years prior. we were hurting and needed one another so we were at my house quite a lot.

For the first wee while things were okay until my sister (26F) started inviting herself out to places that me and my friends would go, including parties filled with purely 17 18 19 year olds. Once she had started expressing a crush on my friend (17M) I started feeling sick and uneasy about the whole situation. I had voiced my feelings to my sister multiple times about how she shouldn’t be hanging out and having crushes on people 8-9 years younger than her when she’s 26 years old, But she would guilt trip me by saying her mental health was at a low and would bring up that she didn’t have the same upbringing as I did. (She didn’t have many friends growing up) Since then it has gotten to the point where my sister has started inviting them over to my house while I’m not there and going out to places without me. I feel some pretty heavy resentment towards my sister and my friends. 

Any thoughts?",TL;DR,2024-05-07,"AITA for distancing myself from my sister after she started hanging out with my friends? Last year I lost a friend in a car accident, after this happened I (18M) started getting closer with the friend group that we used to hang out with at school a few years prior. we were hurting and needed one another so we were at my house quite a lot.

For the first wee while things were okay until my sister (26F) started inviting herself out to places that me and my friends would go, including parties filled with purely 17 18 19 year olds. Once she had started expressing a crush on my friend (17M) I started feeling sick and uneasy about the whole situation. I had voiced my feelings to my sister multiple times about how she shouldn’t be hanging out and having crushes on people 8-9 years younger than her when she’s 26 years old, But she would guilt trip me by saying her mental health was at a low and would bring up that she didn’t have the same upbringing as I did. (She didn’t have many friends growing up) Since then it has gotten to the point where my sister has started inviting them over to my house while I’m not there and going out to places without me. I feel some pretty heavy resentment towards my sister and my friends. 

Any thoughts?",,0.079146765,0,0
5,1cm1mhp,AITA for making my friend upset while mock interviewing her?,"I was helping a friend with mock interviews for a new job after a long period of unemployment.

I mentioned that while her responses to my questions were good, she used a lot of passive language and ""we did ..."" instead of ""I did ..."" about projects that SHE led to success.  I advised her to be more confident with owning up to her success.

She explained to me that she actually doesn't feel confident at all, she thinks did a terrible job at her last job. I got confused and asked her if she had lied to me about projects she did well. She told me she didn't lie about any of that. So she's definitely done some good things at her job, right?

I said ""even if you made some mistakes, that doesn't mean the projects you led to sucess are suddenly mistakes, too. Just speak about what you did well on your last job with confidence, you're definitely allowed to do that and deserve that."" 

She said that it makes her feel like she's lying. I tried to convince her otherwise, but she was very stubborn.

At this point I had been helping her for 2 hours with this mock interview on zoom on a week night and was tired + frustrated. I yelled ""Are you trying to get a job or are you making a confession to a priest?"" 

She quietly answered ""a confession to a priest"" and visibly got upset, said she ""just wants to show her real self"". I said that's not showing your real self, that's just you shooting yourself in the foot, punishing yourself too much for your mistakes. She then started crying and hung up on me.

I'm feeling guilty, I feel like I pushed her too much and I definitely shouldn't have yelled. But I'm also frustrated why my good friend, who has a great work ethic and is a very accomplished woman, is downgrading herself like this so much.",Asshole,2024-05-07,"AITA for making my friend upset while mock interviewing her? I was helping a friend with mock interviews for a new job after a long period of unemployment.

I mentioned that while her responses to my questions were good, she used a lot of passive language and ""we did ..."" instead of ""I did ..."" about projects that SHE led to success.  I advised her to be more confident with owning up to her success.

She explained to me that she actually doesn't feel confident at all, she thinks did a terrible job at her last job. I got confused and asked her if she had lied to me about projects she did well. She told me she didn't lie about any of that. So she's definitely done some good things at her job, right?

I said ""even if you made some mistakes, that doesn't mean the projects you led to sucess are suddenly mistakes, too. Just speak about what you did well on your last job with confidence, you're definitely allowed to do that and deserve that."" 

She said that it makes her feel like she's lying. I tried to convince her otherwise, but she was very stubborn.

At this point I had been helping her for 2 hours with this mock interview on zoom on a week night and was tired + frustrated. I yelled ""Are you trying to get a job or are you making a confession to a priest?"" 

She quietly answered ""a confession to a priest"" and visibly got upset, said she ""just wants to show her real self"". I said that's not showing your real self, that's just you shooting yourself in the foot, punishing yourself too much for your mistakes. She then started crying and hung up on me.

I'm feeling guilty, I feel like I pushed her too much and I definitely shouldn't have yelled. But I'm also frustrated why my good friend, who has a great work ethic and is a very accomplished woman, is downgrading herself like this so much.",1.0,1.0583843,1,1
6,1cm1l1g,"AITA childhood bestfriend hospitalized, family won't give any info/allow visits","My childhood best friend, and I haven't talked in quite a while because they took a very different path in life.... they're  in the hospital, apparently it's very serious.. I reached out to their remaining living sibling to find out any details or if they could have visitors... and this was their response ""No visitors at this time. Please respect our wishes. The hospital will also not allow visitors either. If you can pray for them and not against them that is needed, Thank you and have good night"".... am I wrong for feeling weird about it? This sibling was never a part of their life in any positive meaningful way...literally the one that left them alone, starving, poor after their mother died.  The sibling had custody of her younger siblings, left the kids with their drug addict father, and collected the death benefit from their mothers death that was supposed to care for them. They never gave a shit about my friend, and is likely a major factor in why their life turned out the way it did but idk if there's any other way to find out more info and or if I'm wrong for wanting to be there for them. I reached out to the sibling months ago because I heard that my friend was in a bad way and I couldn't get in contact with them, similar response then - a short, have a nice day askhole, kind of response. Obviously they did not find nor help then either. 

I guess I don't know if I don't have a place to ask/try to be there as we haven't talked in a while but it wasn't because I didn't want to be there for them, they went down a path of addiction and my life went a different way. How do I respond to them? Am I misinterpreting the tone of the message??

ETA: Upon advice to call the hospital and get an advocate involved - I did just that. Apparently, they have been in the hospital for days in critical condition. They just got in touch with family. The sibling that said no visits, lied. I'm heartbroken. Please say a prayer for my friend tonight. Thank you again to those of you who said to call because I was not aware that it would help. The hospital agreed to get ethics involved. ",Not the A-hole,2024-05-07,"AITA childhood bestfriend hospitalized, family won't give any info/allow visits My childhood best friend, and I haven't talked in quite a while because they took a very different path in life.... they're  in the hospital, apparently it's very serious.. I reached out to their remaining living sibling to find out any details or if they could have visitors... and this was their response ""No visitors at this time. Please respect our wishes. The hospital will also not allow visitors either. If you can pray for them and not against them that is needed, Thank you and have good night"".... am I wrong for feeling weird about it? This sibling was never a part of their life in any positive meaningful way...literally the one that left them alone, starving, poor after their mother died.  The sibling had custody of her younger siblings, left the kids with their drug addict father, and collected the death benefit from their mothers death that was supposed to care for them. They never gave a shit about my friend, and is likely a major factor in why their life turned out the way it did but idk if there's any other way to find out more info and or if I'm wrong for wanting to be there for them. I reached out to the sibling months ago because I heard that my friend was in a bad way and I couldn't get in contact with them, similar response then - a short, have a nice day askhole, kind of response. Obviously they did not find nor help then either. 

I guess I don't know if I don't have a place to ask/try to be there as we haven't talked in a while but it wasn't because I didn't want to be there for them, they went down a path of addiction and my life went a different way. How do I respond to them? Am I misinterpreting the tone of the message??

ETA: Upon advice to call the hospital and get an advocate involved - I did just that. Apparently, they have been in the hospital for days in critical condition. They just got in touch with family. The sibling that said no visits, lied. I'm heartbroken. Please say a prayer for my friend tonight. Thank you again to those of you who said to call because I was not aware that it would help. The hospital agreed to get ethics involved. ",0.0,0.090968594,0,1
7,1cm1j0k,AITA for blowing up on my fiancé about one of her interests?,"So I’ve (23m) recently gotten in an argument with my SO. She is very much interested in Genshin Impact and has serious fan girl energy about a certain character and I occasionally see her looking at lewd and suggestive art of this character and others. I personally find this quite odd and a bit disturbing that she fantasizes about fictional characters. I would still find it just as weird if she did the same things with real people and celebrities, but that’s only because I don’t buy into the idea of having an irrational obsession of anyone or anything popular. Anyways, I’ve mentioned to her that this is odd behavior that I am not familiar with nor comfortable with, but would be happy look past it as long as she keeps it to herself.

Recently she told me she bought something cheap for herself for her desk. I was interested in what it was and she said I wouldn’t like it. I pushed her to tell me and she sent me a picture of her favorite male genshin character lying in a bed shirtless and a sexually suggestive manner and face. This was supposed to be a small piece of art she kept on her desk. I, on the other hand, snapped a bit and berated her on how this was not going to be something she could just have laying around our home. She was surprised and upset to say the least as I had never angrily expressed my discomfort with it until now. I only ever made comments like “that stuff is weird” and “what do you find so fascinating about that stuff?” I never had or will have any issue with her looking at that stuff away from me and locked away for just her eyes but with her bringing a photo of that kind of stuff on her desk for me to look at everyday was not something I am willing to accept and live with. 

I understand everyone has their guilty pleasures and mine tends to vary depending what video game I’m playing from time to time while hers is to sink money into genshin impact regularly and fawn over fictional anime men. I’m not trying to change her and I’ve come to accept and love her how she is (hence why I’m marrying her) but we both plan on creating a family together with children and I feel like even just having 1 photo like or similar to what she bought would not be appropriate and eventually stir up questions that our child may not fully understand. I’m constantly reasoning with myself about things I do, say, or buy that she may not appreciate, but she is more than happy to do whatever she wants for the sake of her own guilty pleasure with no regard how I feel about it. AITA?",Asshole,2024-05-07,"AITA for blowing up on my fiancé about one of her interests? So I’ve (23m) recently gotten in an argument with my SO. She is very much interested in Genshin Impact and has serious fan girl energy about a certain character and I occasionally see her looking at lewd and suggestive art of this character and others. I personally find this quite odd and a bit disturbing that she fantasizes about fictional characters. I would still find it just as weird if she did the same things with real people and celebrities, but that’s only because I don’t buy into the idea of having an irrational obsession of anyone or anything popular. Anyways, I’ve mentioned to her that this is odd behavior that I am not familiar with nor comfortable with, but would be happy look past it as long as she keeps it to herself.

Recently she told me she bought something cheap for herself for her desk. I was interested in what it was and she said I wouldn’t like it. I pushed her to tell me and she sent me a picture of her favorite male genshin character lying in a bed shirtless and a sexually suggestive manner and face. This was supposed to be a small piece of art she kept on her desk. I, on the other hand, snapped a bit and berated her on how this was not going to be something she could just have laying around our home. She was surprised and upset to say the least as I had never angrily expressed my discomfort with it until now. I only ever made comments like “that stuff is weird” and “what do you find so fascinating about that stuff?” I never had or will have any issue with her looking at that stuff away from me and locked away for just her eyes but with her bringing a photo of that kind of stuff on her desk for me to look at everyday was not something I am willing to accept and live with. 

I understand everyone has their guilty pleasures and mine tends to vary depending what video game I’m playing from time to time while hers is to sink money into genshin impact regularly and fawn over fictional anime men. I’m not trying to change her and I’ve come to accept and love her how she is (hence why I’m marrying her) but we both plan on creating a family together with children and I feel like even just having 1 photo like or similar to what she bought would not be appropriate and eventually stir up questions that our child may not fully understand. I’m constantly reasoning with myself about things I do, say, or buy that she may not appreciate, but she is more than happy to do whatever she wants for the sake of her own guilty pleasure with no regard how I feel about it. AITA?",1.0,1.0501075,1,1
8,1cm1ixo,AITA for telling my friend to check his language?,"One of my best friends since high school has recently turned into a weekly bar hopper and I’ve noticed a bit of change in his personality. He has recently become a bit more inconsiderate in certain aspects and seems to have changed a lot from his classic nerdy indoor PC gamer style. 

Long story short I have a girlfriend of almost 4 years I plan to propose to and she has Asperger’s, I’ve told my friends over the years how it bothers me when they say “re****”, or “that’s so re******”. It’s sad to admit but between friends and family I’ve seen a lot of pushback and controversy over this ask to where I have to question if I’m truly too sensitive. Lately my unnamed pc gamer friend has started saying these words more where he used to not and so one day I was like “hey don’t say that cmon now” and he responded with “nah man that words making a comeback. Just like cocaine.”

I was like what dude? Both those things are getting less and less popular these days what do you mean so he just said the same thing again and I was like alright….well thanks for that. And he just said yeah sorry not sorry I’m gonna keep saying it. I don’t feel much like hanging out with someone so close to me who really doesn’t care about something that bothers me like that. Am I the asshole for expecting people, friends and family specifically, to honor my wish? ",Not the A-hole,2024-05-07,"AITA for telling my friend to check his language? One of my best friends since high school has recently turned into a weekly bar hopper and I’ve noticed a bit of change in his personality. He has recently become a bit more inconsiderate in certain aspects and seems to have changed a lot from his classic nerdy indoor PC gamer style. 

Long story short I have a girlfriend of almost 4 years I plan to propose to and she has Asperger’s, I’ve told my friends over the years how it bothers me when they say “re****”, or “that’s so re******”. It’s sad to admit but between friends and family I’ve seen a lot of pushback and controversy over this ask to where I have to question if I’m truly too sensitive. Lately my unnamed pc gamer friend has started saying these words more where he used to not and so one day I was like “hey don’t say that cmon now” and he responded with “nah man that words making a comeback. Just like cocaine.”

I was like what dude? Both those things are getting less and less popular these days what do you mean so he just said the same thing again and I was like alright….well thanks for that. And he just said yeah sorry not sorry I’m gonna keep saying it. I don’t feel much like hanging out with someone so close to me who really doesn’t care about something that bothers me like that. Am I the asshole for expecting people, friends and family specifically, to honor my wish? ",0.0,0.07904979,0,1
9,1cm1i3l,WIBTA for telling my friends not to come to my birthday party?,"I feel like this whole situation is so immature and I would just like some external points of view. I am turning 30 soon and wanted to host a small, chill birthday party to play board games and hang out with a few friends. It would also act as a bit of a housewarming because my partner (25) and I just recently moved into a new place. For context, we have already been living together elsewhere for about a year. 

I made a funny little invitation and sent them out. About half of them are both mine and my partner’s friends, while the other half are mostly just my friends. The invitations very clearly specify invite only, and I went over with my partner who I wanted to be there beforehand. Despite this, a couple days ago, my partner let me know that they invited a friend of theirs I’m not a big fan of. I said that I wasn’t happy with that, they brushed it off as not a big deal, and I acquiesced. I understand that was my mistake.

Now today, they told me that they have also invited all of their other friends (a few more than the total of everyone I invited) since it’s a housewarming party too. I don’t dislike these friends, but they are “party” people and will be loud and drunk and there won’t be any room for a chill night of board games. My friends and I just aren’t that extroverted, so I know they also wouldn’t have a good time.

I understand that my partner lives here too, and that’s it’s also meant to be a housewarming which isn’t just about me. But now I’m considering telling my friends not to come, and that I’ll try to have a chill game night another time without doing a birthday thing. Would I be TA if I did this? I don’t think I would be to my friends because they won’t have a good time with the “party” crowd, but I might be to my partner and the other friends they invited.",Not the A-hole,2024-05-07,"WIBTA for telling my friends not to come to my birthday party? I feel like this whole situation is so immature and I would just like some external points of view. I am turning 30 soon and wanted to host a small, chill birthday party to play board games and hang out with a few friends. It would also act as a bit of a housewarming because my partner (25) and I just recently moved into a new place. For context, we have already been living together elsewhere for about a year. 

I made a funny little invitation and sent them out. About half of them are both mine and my partner’s friends, while the other half are mostly just my friends. The invitations very clearly specify invite only, and I went over with my partner who I wanted to be there beforehand. Despite this, a couple days ago, my partner let me know that they invited a friend of theirs I’m not a big fan of. I said that I wasn’t happy with that, they brushed it off as not a big deal, and I acquiesced. I understand that was my mistake.

Now today, they told me that they have also invited all of their other friends (a few more than the total of everyone I invited) since it’s a housewarming party too. I don’t dislike these friends, but they are “party” people and will be loud and drunk and there won’t be any room for a chill night of board games. My friends and I just aren’t that extroverted, so I know they also wouldn’t have a good time.

I understand that my partner lives here too, and that’s it’s also meant to be a housewarming which isn’t just about me. But now I’m considering telling my friends not to come, and that I’ll try to have a chill game night another time without doing a birthday thing. Would I be TA if I did this? I don’t think I would be to my friends because they won’t have a good time with the “party” crowd, but I might be to my partner and the other friends they invited.",0.0,1.0602831,1,0
