,submission_ids,titles,texts,outcome_str,dates,combined_text,outcome,logits,predictions,accurate
0,1dddcvq,AITA for not calling my brothers spouse bhabee,So for context bhabee (I'm not sure of the actual spelling) means sister in law in Hindi. I have three brothers. Two who are older and married and one is younger than me. My oldest brother is married to woman who I call bhabee. My second oldest brother recently got married to his partner of two years. They're nonbinary but a biological woman. I have never called them bhabee because I didn't know if it was disrespectful or not I usually refer to them by their name or I call them doll or something. Yesterday we were all at my parents house for dinner. I was setting the table with my eldest sister in law and I was talking to her about this boy I've been seeing and I assume I was saying bhabee a lot. My brothers spouse asked me what bhabee means and I told them it meant sister in law. They asked me why I don't call them bhabee and I explained my reasoning. They started saying that's bs and saying that I was rude and disrespectful. I really wasn't trying to be. My brother and his spouse left and my brother texted me and told me I was rude to his spouse and accused me of not treating them like family. He said he wouldnt speak to me until I apologize to his spouse. My eldest brother and his wife are on my side but my parents just want to keep the peace and told me I should apologize. Aita ,POO Mode Activated 💩,2024-06-11,AITA for not calling my brothers spouse bhabee So for context bhabee (I'm not sure of the actual spelling) means sister in law in Hindi. I have three brothers. Two who are older and married and one is younger than me. My oldest brother is married to woman who I call bhabee. My second oldest brother recently got married to his partner of two years. They're nonbinary but a biological woman. I have never called them bhabee because I didn't know if it was disrespectful or not I usually refer to them by their name or I call them doll or something. Yesterday we were all at my parents house for dinner. I was setting the table with my eldest sister in law and I was talking to her about this boy I've been seeing and I assume I was saying bhabee a lot. My brothers spouse asked me what bhabee means and I told them it meant sister in law. They asked me why I don't call them bhabee and I explained my reasoning. They started saying that's bs and saying that I was rude and disrespectful. I really wasn't trying to be. My brother and his spouse left and my brother texted me and told me I was rude to his spouse and accused me of not treating them like family. He said he wouldnt speak to me until I apologize to his spouse. My eldest brother and his wife are on my side but my parents just want to keep the peace and told me I should apologize. Aita ,,1.0348173,1,0
1,1dd2xyn,AITA for snapping back at these types of complaints?,"I (M26) was driving with my girlfriend and she has a habit of pointing out things on the road for me to look at. I try to look, but I try more to focus on traffic, especially if I'm changing lanes. On this day, she wanted to show me something and I didn't pay attention to see it because I was changing lanes, which made her say 'Wow, you didn't look at what i show you' angrily, which made me angry and I said, 'Can't you fucking see I'm focusing on driving?', which caused a fight.

On another more recent occasion, I was cooking a stir-fry, and she wanted to show me something on her phone. I managed to look at the first one, but when I had to constantly stir the food, I couldn't look at the second thing she showed me. Again, the same thing, 'Wow, you didn't look at what i show you' angrily, and I got angry again, 'Can't you fucking see I'm cooking here?'

So, am I the asshole for snapping back at these types of complaints which, to me, don't make sense if I'm busy?",Everyone Sucks,2024-06-11,"AITA for snapping back at these types of complaints? I (M26) was driving with my girlfriend and she has a habit of pointing out things on the road for me to look at. I try to look, but I try more to focus on traffic, especially if I'm changing lanes. On this day, she wanted to show me something and I didn't pay attention to see it because I was changing lanes, which made her say 'Wow, you didn't look at what i show you' angrily, which made me angry and I said, 'Can't you fucking see I'm focusing on driving?', which caused a fight.

On another more recent occasion, I was cooking a stir-fry, and she wanted to show me something on her phone. I managed to look at the first one, but when I had to constantly stir the food, I couldn't look at the second thing she showed me. Again, the same thing, 'Wow, you didn't look at what i show you' angrily, and I got angry again, 'Can't you fucking see I'm cooking here?'

So, am I the asshole for snapping back at these types of complaints which, to me, don't make sense if I'm busy?",2.0,0.032643836,0,0
2,1dd2w6b,"AITA for giving my nephew an ""extravagant"" birthday gift?","My brother (M47) and his wife (F45) have one son, Ryan (M17). I (M36) am unmarried without children, and Ryan is my parents' only grandchild. My brother and his wife are both public schoolteachers and do alright for themselves but are by no means wealthy. I'm an attorney and am well off but certainty not rich. 

Ryan and I have always been close. I used to have a job that required a great deal of travel, and I've taken him to Japan, Australia, Vietnam, the Philippines, and many countries in Europe. His parents approved of this as a way to help him expand his horizons and have never objected to me spending money on him before. However, last week he turned 17. For the last decade or so, I've worn a medallion featuring an Ancient Greek coin with the image of Poseidon. Ryan has always thought this was a cool piece - so for his 17th birthday, I gave him a medallion with a coin featuring the image of the god Apollo. For those who haven't brushed up on their ancient mythology, Apollo is the son of Zeus and the nephew of Poseidon. I thought the necklace was a great way to commemorate our relationship - it cost about $1,200. 

But my brother didn't like the gift at all. He told me the necklace was ""extravagant"" and accused me of trying to ""show up"" him and his wife. I pointed out that Ryan got a new set of golf clubs for this 16th birthday and would be getting a car for 18th birthday. Therefore, this necklace wouldn't compete with the other ""big gifts"" he received and would be receiving from his parents. I also reminded my brother that between airfare and hotels, I've spent more than $1,200 on Ryan during some of the trips on which I've taken him. But my brother didn't listen and told me to take the necklace back, saying I didn't need to ""rub \[my\] money in \[his\] face."" I refused, saying that Ryan is old enough to appreciate such things.

I don't think I did anything wrong, but AITA? 



 ",Not the A-hole,2024-06-11,"AITA for giving my nephew an ""extravagant"" birthday gift? My brother (M47) and his wife (F45) have one son, Ryan (M17). I (M36) am unmarried without children, and Ryan is my parents' only grandchild. My brother and his wife are both public schoolteachers and do alright for themselves but are by no means wealthy. I'm an attorney and am well off but certainty not rich. 

Ryan and I have always been close. I used to have a job that required a great deal of travel, and I've taken him to Japan, Australia, Vietnam, the Philippines, and many countries in Europe. His parents approved of this as a way to help him expand his horizons and have never objected to me spending money on him before. However, last week he turned 17. For the last decade or so, I've worn a medallion featuring an Ancient Greek coin with the image of Poseidon. Ryan has always thought this was a cool piece - so for his 17th birthday, I gave him a medallion with a coin featuring the image of the god Apollo. For those who haven't brushed up on their ancient mythology, Apollo is the son of Zeus and the nephew of Poseidon. I thought the necklace was a great way to commemorate our relationship - it cost about $1,200. 

But my brother didn't like the gift at all. He told me the necklace was ""extravagant"" and accused me of trying to ""show up"" him and his wife. I pointed out that Ryan got a new set of golf clubs for this 16th birthday and would be getting a car for 18th birthday. Therefore, this necklace wouldn't compete with the other ""big gifts"" he received and would be receiving from his parents. I also reminded my brother that between airfare and hotels, I've spent more than $1,200 on Ryan during some of the trips on which I've taken him. But my brother didn't listen and told me to take the necklace back, saying I didn't need to ""rub \[my\] money in \[his\] face."" I refused, saying that Ryan is old enough to appreciate such things.

I don't think I did anything wrong, but AITA? 



 ",0.0,0.08728673,0,1
3,1dd2oub,AITA for planning to take one sibling out but not the other ,"Throwaway because I don't want this tied to my main 

I (19F) am autistic, I have fairly low support needs however I do require someone to be with me when I go out as I get easily overwhelmed and it's safer for someone to be with me if something were to happen.

One of my special interests is the circus, specifically the one in my town and as I have my own money I've decided that when I get paid at the end of the month I want to book to go, I looked at the ticket prices today and discovered that they offer a carers ticket and the minimum age requirement for that is fourteen meaning that I'd only have to pay for MY ticket rather than paying £19.50 each for myself and my brother (14M) 

My younger sister (13F) overheard me discussing the plans with 14 and she asked if she could join us, I explained to her that as his ticket would be free then I'd only be taking him, i then told her that if she wants ill take her on her own day out either before or after, maybe to the cinema as there's a film she wants to see, she said that I rarely take her out and that it's always him that I take out (she was mostly referencing to when I took him to the amusement park for my birthday but didn't take her as she isn't a  fan of rides) which I do understand but I do also take her out, last month i literally gave her £50 for her birthday, took her shopping, to the arcade and then bought her dinner when we got home.

She is still mad at me and has told our older sister (22F) who is telling me that I'm harsh for not just paying for her ticket as hers would only be about £13 because the kids ticket is obviously cheaper and while yes i can afford the ticket another reason for me taking 14 is the bonus of it being cheaper (+ me needing someone with me for support) 

I genuinely don't know how I am TA considering i have told 13 that I will happily take her out to the movies whenever she wants me to which realistically works out more expensive considering I'd be paying for both our tickets plus popcorn and a slushie for her like i usually do when I take her to the movies. Plus going out one on one with them is less stressful for me literally just because they're at the age where they're constantly at eachothers throats",Asshole,2024-06-11,"AITA for planning to take one sibling out but not the other  Throwaway because I don't want this tied to my main 

I (19F) am autistic, I have fairly low support needs however I do require someone to be with me when I go out as I get easily overwhelmed and it's safer for someone to be with me if something were to happen.

One of my special interests is the circus, specifically the one in my town and as I have my own money I've decided that when I get paid at the end of the month I want to book to go, I looked at the ticket prices today and discovered that they offer a carers ticket and the minimum age requirement for that is fourteen meaning that I'd only have to pay for MY ticket rather than paying £19.50 each for myself and my brother (14M) 

My younger sister (13F) overheard me discussing the plans with 14 and she asked if she could join us, I explained to her that as his ticket would be free then I'd only be taking him, i then told her that if she wants ill take her on her own day out either before or after, maybe to the cinema as there's a film she wants to see, she said that I rarely take her out and that it's always him that I take out (she was mostly referencing to when I took him to the amusement park for my birthday but didn't take her as she isn't a  fan of rides) which I do understand but I do also take her out, last month i literally gave her £50 for her birthday, took her shopping, to the arcade and then bought her dinner when we got home.

She is still mad at me and has told our older sister (22F) who is telling me that I'm harsh for not just paying for her ticket as hers would only be about £13 because the kids ticket is obviously cheaper and while yes i can afford the ticket another reason for me taking 14 is the bonus of it being cheaper (+ me needing someone with me for support) 

I genuinely don't know how I am TA considering i have told 13 that I will happily take her out to the movies whenever she wants me to which realistically works out more expensive considering I'd be paying for both our tickets plus popcorn and a slushie for her like i usually do when I take her to the movies. Plus going out one on one with them is less stressful for me literally just because they're at the age where they're constantly at eachothers throats",1.0,0.10135102,0,0
4,1dd2kzv,AITA for writing a tweet ,"So… bear with me, the story is longer
Me and my best friend from elementary school were close up until a couple of months ago. We always had a pact that he would be my each others MOH/BM
When I got together with my now husband 12 ya, he was immediately informed that my best friend is a guy, he’s one of the ppl I trust most in my life, and he is part of my family (I’ll call him Joe)
When hubbs saw our dynamic he immediately understood our relationship and always treated Joe like a brother.

Fast forward 18 Months ago
Joes daughter was born, everybody including me is excited, he calls me to tell me they are having a christening ceremony and we would be the godparents 
I am excited, buying gifts for my little goddaughter doing everything I can to help.
I noticed our communication drifting, naturally it comes and goes.
Her first birthday came, I know my SIL is pretty particular I just gift card for her bday.
We called them in the evening so my son can sing to her happy birthday, made some small talk and I didn’t hear from him for 4 Months (my son’s birthday) - they congratulated sang, again a little chit chat over and out.
Again months go by without even a text, and I am getting pretty upset at this point.
My mother had surgery, I’ve lost my job I had a pretty hard couple of months.
I tried to write but didn’t hear back.
I asked him what’s wrong 
It turns out - he read a tweet that I wrote about idiots being idiots, and he thought it was about him, and was upset with me because of it. He proceeded to tell my that he only invited me as a godmother to his child only so that we would not drift apart. He said “ You found someone that tolerates you, and you look happy, but I can not teach a grown woman how to behave” 
When I asked how I was selfish he told me that when we called so my son could sing happy birthday, afterwards I started chatting about random happenings from our lives, and taking the shine away from his daughter, and I’ve only sent a gift card instead of sending something material for her.
Another example of my selfishness is that when he called for my son’s birthday I again started talking about the adults afterwards. He proceeded to tell me how I didn’t send them an anniversary gift, or at least a card. His wife was noticing that and she was offended. She is from the south and they were really paying attention to send cards and stuff for everything [even though we haven’t received a txt msg for our anniversary]

He didn’t know a thing that was happening in the last months, but here I was labeled the queen of selfishness, and when I told him what’s up he said we should follow up the next day. That was 4 Months ago. I honestly don’t plan on contacting him, I drifted apart with a chunk of that friend group since it was pretty toxic, but I really thought he was a lifer.
I guess I am the AHole for not having boundaries idk

",Everyone Sucks,2024-06-11,"AITA for writing a tweet  So… bear with me, the story is longer
Me and my best friend from elementary school were close up until a couple of months ago. We always had a pact that he would be my each others MOH/BM
When I got together with my now husband 12 ya, he was immediately informed that my best friend is a guy, he’s one of the ppl I trust most in my life, and he is part of my family (I’ll call him Joe)
When hubbs saw our dynamic he immediately understood our relationship and always treated Joe like a brother.

Fast forward 18 Months ago
Joes daughter was born, everybody including me is excited, he calls me to tell me they are having a christening ceremony and we would be the godparents 
I am excited, buying gifts for my little goddaughter doing everything I can to help.
I noticed our communication drifting, naturally it comes and goes.
Her first birthday came, I know my SIL is pretty particular I just gift card for her bday.
We called them in the evening so my son can sing to her happy birthday, made some small talk and I didn’t hear from him for 4 Months (my son’s birthday) - they congratulated sang, again a little chit chat over and out.
Again months go by without even a text, and I am getting pretty upset at this point.
My mother had surgery, I’ve lost my job I had a pretty hard couple of months.
I tried to write but didn’t hear back.
I asked him what’s wrong 
It turns out - he read a tweet that I wrote about idiots being idiots, and he thought it was about him, and was upset with me because of it. He proceeded to tell my that he only invited me as a godmother to his child only so that we would not drift apart. He said “ You found someone that tolerates you, and you look happy, but I can not teach a grown woman how to behave” 
When I asked how I was selfish he told me that when we called so my son could sing happy birthday, afterwards I started chatting about random happenings from our lives, and taking the shine away from his daughter, and I’ve only sent a gift card instead of sending something material for her.
Another example of my selfishness is that when he called for my son’s birthday I again started talking about the adults afterwards. He proceeded to tell me how I didn’t send them an anniversary gift, or at least a card. His wife was noticing that and she was offended. She is from the south and they were really paying attention to send cards and stuff for everything [even though we haven’t received a txt msg for our anniversary]

He didn’t know a thing that was happening in the last months, but here I was labeled the queen of selfishness, and when I told him what’s up he said we should follow up the next day. That was 4 Months ago. I honestly don’t plan on contacting him, I drifted apart with a chunk of that friend group since it was pretty toxic, but I really thought he was a lifer.
I guess I am the AHole for not having boundaries idk

",2.0,0.0776324,0,0
5,1dd2kef,AITA/Gf wants to hand in her resume to my boss. I don’t want her to. ," So, my girlfriend recently quit her job that her family referred her to because they were making her work 60 hours a week and they were bullying her there. She was there for less than a month, she couldn’t handle it anymore, which is understandable. Now she wants to put in her resume in person at one of the pharmacy’s owned by my boss. All the people that work there, I have worked with at another pharmacy and I have even worked at that one a handful of times when they needed help. There are a few people that work there that are not gentle to those who are first learning and my girlfriend is not gentle to those who are can come across as bossy or a little mean. So, I’m afraid drama might come of it, people will know she is my gf because we share the same address one co worker already knows what my girlfriend’s name is and what she looks like. So everyone is going to know. (Also we are both lesbians and there are a lot of co workers who are homophobic. Most don’t know about me, only one.. maybe two. I’m pretty secretive about my private life at work). I’m afraid that in the end, it will make me look bad and will affect my position at the job. I know I shouldn’t say this, but I don’t want to end up getting embarrassed or caught in the mix. I expressed my concerns to her and she is upset with me and doesn’t understand where I’m coming from because she needs a job. Which I agree, but anywhere else. Not under the same boss and same co workers 😩  ",Not the A-hole,2024-06-11,"AITA/Gf wants to hand in her resume to my boss. I don’t want her to.   So, my girlfriend recently quit her job that her family referred her to because they were making her work 60 hours a week and they were bullying her there. She was there for less than a month, she couldn’t handle it anymore, which is understandable. Now she wants to put in her resume in person at one of the pharmacy’s owned by my boss. All the people that work there, I have worked with at another pharmacy and I have even worked at that one a handful of times when they needed help. There are a few people that work there that are not gentle to those who are first learning and my girlfriend is not gentle to those who are can come across as bossy or a little mean. So, I’m afraid drama might come of it, people will know she is my gf because we share the same address one co worker already knows what my girlfriend’s name is and what she looks like. So everyone is going to know. (Also we are both lesbians and there are a lot of co workers who are homophobic. Most don’t know about me, only one.. maybe two. I’m pretty secretive about my private life at work). I’m afraid that in the end, it will make me look bad and will affect my position at the job. I know I shouldn’t say this, but I don’t want to end up getting embarrassed or caught in the mix. I expressed my concerns to her and she is upset with me and doesn’t understand where I’m coming from because she needs a job. Which I agree, but anywhere else. Not under the same boss and same co workers 😩  ",0.0,1.0232954,1,0
6,1dd2hoj,AITA because i struck a low blow in an argument with a friend?,"i (13 M yes i know i'm a little to young to be here but this has been eating away at me) got in an argument with my friend (13 M), it was about some stupid stuff like 'messing up an anime quote' (we're really big anime dweebs) and he starts cussing me out so i snap, i say a petty remark about some info he trusted me with (can't share it due to being a good human) and he says shut up, i say no of course because this isn't the first time he's insulted me over some stupid stuff like messing up words. so he walks off and starts being grumpy, now it's recess that same day and he keeps calling me a psychopath because i don't feel in the wrong much, he then keeps avoiding me, so at recess i get my friends (14 M and 13F) opinions on it, female friend agrees with me while male friend thinks i'm in the wrong.  
  
 next day at school i get avoided by both my male friends (female friend isn't here), by the time we get to class i start talking with my male friend (the one i didn't argue with) and i feel like he's judging me, this is when it truly dawns on me that my best friend doesn't like me anymore over a petty argument. at lunch they go to mcdonalds and buy a 10 piece nugget meal, which friend i didn't argue with never buys for anyone, so i find it a bit odd why they sit so close to me. i don't try to strike up a convo because i know they would ignore me so i keep eating. they keep ignoring me the entire time until after lunch, which we go back to normal. after school both friends keep ignoring me like i don't exist.  
  
 Am I an asshole?",Asshole,2024-06-11,"AITA because i struck a low blow in an argument with a friend? i (13 M yes i know i'm a little to young to be here but this has been eating away at me) got in an argument with my friend (13 M), it was about some stupid stuff like 'messing up an anime quote' (we're really big anime dweebs) and he starts cussing me out so i snap, i say a petty remark about some info he trusted me with (can't share it due to being a good human) and he says shut up, i say no of course because this isn't the first time he's insulted me over some stupid stuff like messing up words. so he walks off and starts being grumpy, now it's recess that same day and he keeps calling me a psychopath because i don't feel in the wrong much, he then keeps avoiding me, so at recess i get my friends (14 M and 13F) opinions on it, female friend agrees with me while male friend thinks i'm in the wrong.  
  
 next day at school i get avoided by both my male friends (female friend isn't here), by the time we get to class i start talking with my male friend (the one i didn't argue with) and i feel like he's judging me, this is when it truly dawns on me that my best friend doesn't like me anymore over a petty argument. at lunch they go to mcdonalds and buy a 10 piece nugget meal, which friend i didn't argue with never buys for anyone, so i find it a bit odd why they sit so close to me. i don't try to strike up a convo because i know they would ignore me so i keep eating. they keep ignoring me the entire time until after lunch, which we go back to normal. after school both friends keep ignoring me like i don't exist.  
  
 Am I an asshole?",1.0,1.04454,1,1
7,1dd2gpi,WIBTA For telling my roommate his girlfriend can't stay?,"I'll start by introducing the characters. Me(20F) and my bf (24M, We'll call him Kevin) have lived together for 2 years and some change since we got together. We moved into a 2BR house, and stayed there for about a year before a friend of Kevin's that we'd been hanging out with for an amount of time asked if he could stay with us until he got back on his feet.  
  
I had my reservations considering he had a pattern of being irresponsible. For instance-- the reason he was even out of a place in the first place is because he broke his lease to go follow a girl he'd just started talking to to another state he had no family or support system in. This was after the girl had already abandoned him in our state with no calls or texts to let him know she'd moved away.

We had initially planned to stay together with him on our couch until our lease was up, and then go our separate ways. Long story short, we decided it would be better financially to move together into a bigger place with him as a roommate. Before we moved, we agreed that we would have no more roommates until we parted ways.

This brings me to my current situation. Roomate (21M, I'll call him Roger) has brought a new visitor into the house very frequently and it's been bothering us. It's not the fact that he has company-- we don't care about visitors on weekends, and that goes for everyone in the house. Nobody has company on a weekday, if at all. And if they are, they are only there for a couple hours.

Not only is his new friend (21F, calling her Stacy) a complete stranger to us, she's pregnant (not by him) and me and the boyfriend are adamantly childfree at the moment. Roger knew her and dated her for one day in high school before deciding she was the one 5 years later (with no prior contact). Her car is always in the way when she comes over (we have a tiny driveway barely large enough for our 2 cars) and as soon as she started coming over, she leaves her stuff around the house as if she's moved in.

Stacy herself is not the problem. She's actually not a bad person, it's just the frequency in which she visits when we placed boundaries with visitors before we even moved in together that has really put a strain on daily activities and house dynamics. Roger insists on bringing her over every day, and even has a baby crib in his room despite being told we don't want another roommate, much less a stranger's baby in the house.

Stacy also technically doesn't have a place to stay (or so I've been told). Roger refuses to go visit her because he doesn't like her roommates. This is where I'm thinking I might be an asshole-- Sure, it's annoying suddenly-- and I mean SUDDENLY-- having a random (to us) pregnant woman damn near move into our house with no discussion beforehand whatsoever, but do we really want to kick a (possibly) homeless pregnant woman to the curb?",Not the A-hole,2024-06-11,"WIBTA For telling my roommate his girlfriend can't stay? I'll start by introducing the characters. Me(20F) and my bf (24M, We'll call him Kevin) have lived together for 2 years and some change since we got together. We moved into a 2BR house, and stayed there for about a year before a friend of Kevin's that we'd been hanging out with for an amount of time asked if he could stay with us until he got back on his feet.  
  
I had my reservations considering he had a pattern of being irresponsible. For instance-- the reason he was even out of a place in the first place is because he broke his lease to go follow a girl he'd just started talking to to another state he had no family or support system in. This was after the girl had already abandoned him in our state with no calls or texts to let him know she'd moved away.

We had initially planned to stay together with him on our couch until our lease was up, and then go our separate ways. Long story short, we decided it would be better financially to move together into a bigger place with him as a roommate. Before we moved, we agreed that we would have no more roommates until we parted ways.

This brings me to my current situation. Roomate (21M, I'll call him Roger) has brought a new visitor into the house very frequently and it's been bothering us. It's not the fact that he has company-- we don't care about visitors on weekends, and that goes for everyone in the house. Nobody has company on a weekday, if at all. And if they are, they are only there for a couple hours.

Not only is his new friend (21F, calling her Stacy) a complete stranger to us, she's pregnant (not by him) and me and the boyfriend are adamantly childfree at the moment. Roger knew her and dated her for one day in high school before deciding she was the one 5 years later (with no prior contact). Her car is always in the way when she comes over (we have a tiny driveway barely large enough for our 2 cars) and as soon as she started coming over, she leaves her stuff around the house as if she's moved in.

Stacy herself is not the problem. She's actually not a bad person, it's just the frequency in which she visits when we placed boundaries with visitors before we even moved in together that has really put a strain on daily activities and house dynamics. Roger insists on bringing her over every day, and even has a baby crib in his room despite being told we don't want another roommate, much less a stranger's baby in the house.

Stacy also technically doesn't have a place to stay (or so I've been told). Roger refuses to go visit her because he doesn't like her roommates. This is where I'm thinking I might be an asshole-- Sure, it's annoying suddenly-- and I mean SUDDENLY-- having a random (to us) pregnant woman damn near move into our house with no discussion beforehand whatsoever, but do we really want to kick a (possibly) homeless pregnant woman to the curb?",0.0,0.021924425,0,1
8,1dd2dd3,AITA for Distrusting My Boyfriend’s Travel Plans After His Poor Budgeting Left Us in Debt Last Time?,"I (F, 26) and my boyfriend (M, 25) switched to remote jobs at the same company three years ago. Around that time, he proposed we use our newfound freedom to travel the world since we had no local responsibilities. He was incredibly passionate about it and planned everything, so I followed his lead. For six months, we had amazing experiences.

For context, even though he’s a year younger, he had been living independently for six years while I was still with my family. This trip was my first time so far from home, and I had experiences I never would have had without his initiative. However, the joy didn't last long because we returned home about 1600€ in debt each. He had assured me our salaries would roughly cover the trip, but we ended up short every month, and his spontaneous booking of our return flight added several hundred euros to the cost. It took months to repay the debt, and since then, my trust in his travel planning has been shattered.

I was shocked when he said, “In a few years, we won't think about the money anymore, but the experiences will stay with us forever.” He has a different background, having looked after himself since he was 16 and experienced bigger financial lows and highs. For me, it was my first job, and being in debt for the first time really affected me mentally and scared me a lot.

Since then, I've rejected all his suggestions for longer trips or traveling outside Europe. Today, he approached me again, explaining he now understands how much debt affects me and has a new one-month trip outside Europe in mind. He claimed he would ensure this trip stayed within our budget and emphasized that he wanted me to focus on our fond memories rather than the debt. He listened to my concerns and even reviewed our past finances to find ways to save money this time. He admitted his mistake with the spontaneous return flight booking and promised to book both flights together this time.

Despite his efforts, I didn't want to approve the trip because I’m still disappointed by his previous recklessness. He also seemed to expect gratitude for planning everything during the first trip, which he never received because I was too angry about the aftermath. He appeared very disappointed by my rejection and lack of thanks. He reminded me we were both young and that he had learned a lot about travel planning and my needs, acknowledging how important financial stability is to me compared to him.

His attitude made me angry, and I told him, “I wasn’t just young, I was also stupid. Stupid to blindly trust you.” This hurt him deeply, and he was speechless for a while.

I believe my concerns are valid, as his prioritization of adventure over stable finances still worries me. However, his reaction makes me question if I might be the asshole here.",Asshole,2024-06-11,"AITA for Distrusting My Boyfriend’s Travel Plans After His Poor Budgeting Left Us in Debt Last Time? I (F, 26) and my boyfriend (M, 25) switched to remote jobs at the same company three years ago. Around that time, he proposed we use our newfound freedom to travel the world since we had no local responsibilities. He was incredibly passionate about it and planned everything, so I followed his lead. For six months, we had amazing experiences.

For context, even though he’s a year younger, he had been living independently for six years while I was still with my family. This trip was my first time so far from home, and I had experiences I never would have had without his initiative. However, the joy didn't last long because we returned home about 1600€ in debt each. He had assured me our salaries would roughly cover the trip, but we ended up short every month, and his spontaneous booking of our return flight added several hundred euros to the cost. It took months to repay the debt, and since then, my trust in his travel planning has been shattered.

I was shocked when he said, “In a few years, we won't think about the money anymore, but the experiences will stay with us forever.” He has a different background, having looked after himself since he was 16 and experienced bigger financial lows and highs. For me, it was my first job, and being in debt for the first time really affected me mentally and scared me a lot.

Since then, I've rejected all his suggestions for longer trips or traveling outside Europe. Today, he approached me again, explaining he now understands how much debt affects me and has a new one-month trip outside Europe in mind. He claimed he would ensure this trip stayed within our budget and emphasized that he wanted me to focus on our fond memories rather than the debt. He listened to my concerns and even reviewed our past finances to find ways to save money this time. He admitted his mistake with the spontaneous return flight booking and promised to book both flights together this time.

Despite his efforts, I didn't want to approve the trip because I’m still disappointed by his previous recklessness. He also seemed to expect gratitude for planning everything during the first trip, which he never received because I was too angry about the aftermath. He appeared very disappointed by my rejection and lack of thanks. He reminded me we were both young and that he had learned a lot about travel planning and my needs, acknowledging how important financial stability is to me compared to him.

His attitude made me angry, and I told him, “I wasn’t just young, I was also stupid. Stupid to blindly trust you.” This hurt him deeply, and he was speechless for a while.

I believe my concerns are valid, as his prioritization of adventure over stable finances still worries me. However, his reaction makes me question if I might be the asshole here.",1.0,0.13297418,0,0
9,1dd2cj1,AITA for flipping out on my flatmate-landlord?,"My (F21) flatmate (M34) is also my landlord and we have been living together for 2.5 months.

Recently I have flipped out on him after starting to resent him quickly after probably bottling all my discontent towards certain things. Since he is my landlord, I feel like we don't live on the same terms and he is in more power to set the rules. I also have mixed depression and anxiety disorder which my flatmate is aware of, including how it makes me feel over anxious about a lot of things.

Some things that have led me to flip out:
- he threw out my expired slice of bread ""for my own good"" that I still intended to eat (thus, I took it out of the trash can, he knows I ""trash hunt"" and don't care if something is expired) and my flat box that takes literally 0 space in the storage room, where I don't have any other stuff and there is still some space.
- he leaves his dirty pissed underwear in his laundry basket in the bathroom in plain sight.
- he leaves shit stains in the toilet.
- he makes jokes that he will burst into my room after I told him how I was angry with my previous flatmate who broke into my room after midnight when I was sleeping and was naked.
- he was calling someone today and was cleaning very loudly at 3 AM and didn't understand why I asked him to stop since I couldn't sleep.
- he doesn't understand that I am a girl living with a grown up man and any unnecessary act from his side can make me uncomfortable and I will be ""trapped"" in my own home. He makes fun of me not liking excessive touching after I told him I don't find it funny. He got upset when I told him I have preferred dancing with a ""MILF"" who volunteered to help me with Latin American dancing and I have found it rather arousing, but not dancing with him. He called my gym outfit ""sexy"", which I find to be unnecessary information, and so on. He has recently broken up with his girlfriend, I agreed to live with him since I knew he had a gf and I stated that I had a bf which made me consider him less creepy. It is also very hard to find a decent accomodation in my area so everyone is kind of desperate.

I think I may be an asshole and here may have been a lack of miscommunication from my side and I needed to tell him about my discontent and discomfort about some of his actions right away instead of bottling it up in me since he couldn't have guessed about my feelings. Thus, any answers would be appreciated:)  ",Asshole,2024-06-11,"AITA for flipping out on my flatmate-landlord? My (F21) flatmate (M34) is also my landlord and we have been living together for 2.5 months.

Recently I have flipped out on him after starting to resent him quickly after probably bottling all my discontent towards certain things. Since he is my landlord, I feel like we don't live on the same terms and he is in more power to set the rules. I also have mixed depression and anxiety disorder which my flatmate is aware of, including how it makes me feel over anxious about a lot of things.

Some things that have led me to flip out:
- he threw out my expired slice of bread ""for my own good"" that I still intended to eat (thus, I took it out of the trash can, he knows I ""trash hunt"" and don't care if something is expired) and my flat box that takes literally 0 space in the storage room, where I don't have any other stuff and there is still some space.
- he leaves his dirty pissed underwear in his laundry basket in the bathroom in plain sight.
- he leaves shit stains in the toilet.
- he makes jokes that he will burst into my room after I told him how I was angry with my previous flatmate who broke into my room after midnight when I was sleeping and was naked.
- he was calling someone today and was cleaning very loudly at 3 AM and didn't understand why I asked him to stop since I couldn't sleep.
- he doesn't understand that I am a girl living with a grown up man and any unnecessary act from his side can make me uncomfortable and I will be ""trapped"" in my own home. He makes fun of me not liking excessive touching after I told him I don't find it funny. He got upset when I told him I have preferred dancing with a ""MILF"" who volunteered to help me with Latin American dancing and I have found it rather arousing, but not dancing with him. He called my gym outfit ""sexy"", which I find to be unnecessary information, and so on. He has recently broken up with his girlfriend, I agreed to live with him since I knew he had a gf and I stated that I had a bf which made me consider him less creepy. It is also very hard to find a decent accomodation in my area so everyone is kind of desperate.

I think I may be an asshole and here may have been a lack of miscommunication from my side and I needed to tell him about my discontent and discomfort about some of his actions right away instead of bottling it up in me since he couldn't have guessed about my feelings. Thus, any answers would be appreciated:)  ",1.0,0.052232333,0,0
